Date,Y_Date,Y
09-03-2015,03-09-2015,19250.0
09-04-2015,04-09-2015,19100.0
09-08-2015,07-09-2015,19150.0
09-09-2015,09-09-2015,19150.0
09-10-2015,10-09-2015,19000.0
09-11-2015,11-09-2015,19000.0
14-09-2015,14-09-2015,18950.0
15-09-2015,15-09-2015,18900.0
16-09-2015,16-09-2015,18850.0
17-09-2015,17-09-2015,19050.0
18-09-2015,18-09-2015,19150.0
21-09-2015,21-09-2015,19250.0
22-09-2015,22-09-2015,19300.0
23-09-2015,23-09-2015,19200.0
24-09-2015,24-09-2015,19450.0
25-09-2015,25-09-2015,19750.0
28-09-2015,28-09-2015,19650.0
29-09-2015,29-09-2015,19550.0
30-09-2015,30-09-2015,19400.0
10-01-2015,01-10-2015,19250.0
10-02-2015,02-10-2015,19300.0
10-05-2015,05-10-2015,19600.0
10-06-2015,06-10-2015,19550.0
10-07-2015,07-10-2015,19700.0
10-08-2015,08-10-2015,19500.0
10-09-2015,09-10-2015,19350.0
10-12-2015,12-10-2015,19500.0
13-10-2015,13-10-2015,19450.0
14-10-2015,14-10-2015,19800.0
15-10-2015,15-10-2015,19700.0
16-10-2015,16-10-2015,19700.0
19-10-2015,19-10-2015,19650.0
20-10-2015,20-10-2015,19650.0
21-10-2015,21-10-2015,19750.0
22-10-2015,22-10-2015,19650.0
26-10-2015,26-10-2015,19650.0
27-10-2015,27-10-2015,19600.0
28-10-2015,28-10-2015,19650.0
29-10-2015,29-10-2015,19650.0
30-10-2015,30-10-2015,19400.0
11-02-2015,02-11-2015,19250.0
11-03-2015,03-11-2015,19150.0
11-04-2015,04-11-2015,18900.0
11-05-2015,05-11-2015,18750.0
11-06-2015,06-11-2015,18750.0
11-09-2015,09-11-2015,18600.0
11-10-2015,10-11-2015,18650.0
11-11-2015,11-11-2015,18600.0
11-12-2015,12-11-2015,18500.0
13-11-2015,13-11-2015,18450.0
16-11-2015,16-11-2015,18600.0
17-11-2015,17-11-2015,18500.0
18-11-2015,18-11-2015,18300.0
19-11-2015,19-11-2015,18400.0
20-11-2015,20-11-2015,18400.0
23-11-2015,23-11-2015,18250.0
24-11-2015,24-11-2015,18250.0
25-11-2015,25-11-2015,18300.0
27-11-2015,26-11-2015,18200.0
30-11-2015,30-11-2015,18000.0
12-01-2015,01-12-2015,18200.0
12-02-2015,02-12-2015,18150.0
12-03-2015,03-12-2015,17950.0
12-04-2015,04-12-2015,18050.0
12-08-2015,08-12-2015,18200.0
12-09-2015,09-12-2015,18350.0
