Y_Date,Y
03-10-2019,21750
07-10-2019,21750
08-10-2019,21550
09-10-2019,21650
10-10-2019,21650
15-10-2019,21500
16-10-2019,21400
17-10-2019,21450
21-10-2019,21400
22-10-2019,21300
24-10-2019,21400
28-10-2019,21550
29-10-2019,21400
30-10-2019,21350
31-10-2019,21400
04-11-2019,21600
05-11-2019,21550
06-11-2019,21350
07-11-2019,21400
11-11-2019,21100
12-11-2019,20950
13-11-2019,20950
14-11-2019,20950
18-11-2019,21000
19-11-2019,21000
20-11-2019,21050
21-11-2019,21050
25-11-2019,20950
26-11-2019,20850
27-11-2019,20900
02-12-2019,20900
03-12-2019,20950
04-12-2019,21200
09-12-2019,21000
11-12-2019,21000
12-12-2019,21100
16-12-2019,21600
17-12-2019,21150
18-12-2019,21150
19-12-2019,21150
23-12-2019,21150
26-12-2019,21450
30-12-2019,21600
02-01-2020,21650
03-01-2020,21900
06-01-2020,22500
07-01-2020,22250
08-01-2020,22750
09-01-2020,22400
10-01-2020,22200
13-01-2020,22300
14-01-2020,22100
15-01-2020,22200
16-01-2020,22300
17-01-2020,22400
20-01-2020,22400
21-01-2020,22500
22-01-2020,22350
23-01-2020,22400
24-01-2020,22550
27-01-2020,22950
28-01-2020,23000
29-01-2020,22850
30-01-2020,23200
31-01-2020,23200
03-02-2020,23400
04-02-2020,23200
05-02-2020,22900
06-02-2020,22850
07-02-2020,23100
11-02-2020,23200
12-02-2020,23150
13-02-2020,23150
14-02-2020,23200
17-02-2020,23350
18-02-2020,23400
19-02-2020,23600
20-02-2020,23800
21-02-2020,24250
24-02-2020,24950
25-02-2020,24800
26-02-2020,24750
27-02-2020,24850
28-02-2020,24550
02-03-2020,23750
03-03-2020,23850
04-03-2020,24450
05-03-2020,24400
06-03-2020,25000
09-03-2020,25250
10-03-2020,24800
11-03-2020,24700
12-03-2020,24450
13-03-2020,23750
16-03-2020,23300
17-03-2020,22700
18-03-2020,23450
19-03-2020,23000
20-03-2020,22800
23-03-2020,23250
24-03-2020,24450
25-03-2020,24800
26-03-2020,24550
27-03-2020,24800
30-03-2020,24900
31-03-2020,24900
01-04-2020,24650
02-04-2020,24850
03-04-2020,25050
07-04-2020,25650
08-04-2020,25400
09-04-2020,25350
13-04-2020,25700
14-04-2020,26250
15-04-2020,26250
16-04-2020,26200
17-04-2020,26100
20-04-2020,25800
21-04-2020,26000
22-04-2020,25900
23-04-2020,26100
24-04-2020,26350
27-04-2020,26350
28-04-2020,26100
29-04-2020,26150
30-04-2020,26150
05-05-2020,26000
07-05-2020,26000
08-05-2020,26150
11-05-2020,26000
12-05-2020,25900
13-05-2020,25900
14-05-2020,26000
15-05-2020,26250
18-05-2020,26600
19-05-2020,26300
20-05-2020,26350
21-05-2020,26300
22-05-2020,26100
25-05-2020,26150
26-05-2020,26200
27-05-2020,25900
28-05-2020,25900
29-05-2020,25950
01-06-2020,26100
02-06-2020,26050
04-06-2020,25600
05-06-2020,25600
08-06-2020,25250
09-06-2020,25250
10-06-2020,25450
11-06-2020,25350
12-06-2020,25450
15-06-2020,25400
16-06-2020,25400
17-06-2020,25450
18-06-2020,25450
19-06-2020,25400
22-06-2020,25700
23-06-2020,25700
24-06-2020,25850
25-06-2020,25750
26-06-2020,25800
29-06-2020,25850
30-06-2020,25900
01-07-2020,26100
02-07-2020,26000
03-07-2020,26150
07-07-2020,26250
08-07-2020,26550
09-07-2020,26650
10-07-2020,26700
13-07-2020,26700
14-07-2020,26800
15-07-2020,26950
16-07-2020,27050
17-07-2020,27000
20-07-2020,27150
21-07-2020,27250
22-07-2020,27650
23-07-2020,27850
24-07-2020,28200
29-07-2020,29050
30-07-2020,29100
31-07-2020,29000
03-08-2020,29100
04-08-2020,29050
05-08-2020,29450
06-08-2020,29850
07-08-2020,30350
10-08-2020,29900
11-08-2020,29700
13-08-2020,28400
14-08-2020,28650
17-08-2020,28550
18-08-2020,29350
19-08-2020,29400
20-08-2020,28850
21-08-2020,28950
24-08-2020,28850
25-08-2020,28850
26-08-2020,28650
27-08-2020,28750
28-08-2020,28650
31-08-2020,28900
01-09-2020,29100
02-09-2020,29050
03-09-2020,28850
08-09-2020,28650
09-09-2020,28650
10-09-2020,28750
11-09-2020,28850
14-09-2020,28850
15-09-2020,28950
16-09-2020,28900
17-09-2020,28750
