BVN,EUR_USD,Crude_Oil,JPY_THB,NYSE,TenBond_THB,USD_THB
5.78,1,86.56,0.26,15118.8,1.62,36.73
5.44,0.99,92.31,0.26,15178.2,1.62,36.47
5.43,1,96.9,0.26,15595.2,1.62,36.32
5.32,1,92.96,0.26,15392.1,1.62,36.19
5.42,1,93.06,0.26,15338.2,1.62,35.86
5.66,1,95.35,0.26,15341.8,1.62,36.1
5.66,1,93.78,0.26,15588.3,1.64,36.05
5.41,1,90.55,0.26,15763.9,1.62,36.12
5.38,0.99,89.65,0.26,15734.1,1.67,35.74
5.28,1,90.39,0.26,15846.8,1.65,35.66
5.67,1.01,87.39,0.26,15794.3,1.63,35.45
5.62,1.02,87.1,0.26,15804.4,1.68,35.42
5.95,1.02,87.93,0.26,15602.9,1.7,35.51
5.82,1.02,91.94,0.27,15552.7,1.68,35.3
5.82,1.03,91.55,0.27,15305.8,1.67,35.19
5.98,1.03,90.69,0.26,15273.2,1.68,35.36
5.92,1.03,88.46,0.27,15267.2,1.67,35.62
6.01,1.02,90.95,0.26,15162.7,1.67,35.74
5.74,1.02,93.83,0.26,15286,1.71,36.24
5.66,1.02,93.75,0.27,14793.5,1.74,36.22
5.71,1.02,95.6,0.27,14899.1,1.75,36.15
5.39,1.03,96.33,0.27,14790.8,1.77,36.73
6.1,1.01,95.1,0.27,14871.1,1.76,36.69
6.03,1.02,96.51,0.27,14778.5,1.74,36.68
6.14,1.02,99.91,0.27,14766.6,1.72,36.78
6.15,1.02,103.6,0.27,14403.2,1.74,36.69
5.97,1.02,102,0.27,14449.7,1.75,36.61
6.09,1.02,97.27,0.26,14171.2,1.76,36.65
6.06,1.01,96.39,0.27,14340.3,1.74,36.65
6.08,1.01,96.57,0.26,14502.4,1.69,36.58
5.94,1,103.46,0.26,14642.3,1.67,36.21
5.88,1.01,104.79,0.26,14465.3,1.67,36.25
6.03,1,98.22,0.26,14499.5,1.7,35.86
6.08,1.02,100.36,0.26,14487.6,1.69,36.21
6.18,1.02,106.01,0.27,14599.6,1.7,35.94
6.42,1.03,109.7,0.27,14667.3,1.69,35.59
6.51,1.04,111.86,0.26,14835.3,1.68,35.31
6.47,1.05,110.18,0.26,14811.5,1.65,35.2
6.76,1.04,107.22,0.26,14402.1,1.65,35.18
7.03,1.05,103.99,0.26,14352.8,1.7,35.37
7.13,1.06,104.42,0.26,14414.3,1.71,35.5
7.14,1.06,109.54,0.26,14097,1.72,35.5
6.8,1.05,110.58,0.26,14142.2,1.66,35.39
7.32,1.06,117.08,0.26,14595.2,1.68,35.33
7.45,1.05,115.98,0.26,14444.6,1.73,35.34
7.31,1.05,119.07,0.26,14527.9,1.72,35.03
7.52,1.05,121.09,0.26,15096.7,1.74,34.81
7.51,1.04,120.19,0.26,15472.5,1.73,35.02
7.65,1.04,121.46,0.26,15843.8,1.74,34.9
7.49,1.04,122.43,0.26,15848.5,1.72,34.75
7.84,1.05,119.1,0.26,15797.2,1.76,34.56
7.73,1.06,120.82,0.26,15827,1.71,34.52
8.13,1.07,115.4,0.26,15942.6,1.76,34.38
8.34,1.07,114.96,0.26,15664,1.76,34.34
8.72,1.07,114.2,0.26,15412.2,1.79,34.33
8.57,1.07,110.69,0.27,15290.4,1.78,34.08
9.08,1.08,110.39,0.27,15343,1.75,34.24
8.9,1.07,110.41,0.27,15081,1.75,34.28
8.47,1.07,110.56,0.27,15035.9,1.72,34.1
8.47,1.07,111.45,0.27,15044.5,1.72,34.15
8.45,1.07,109.09,0.27,15541.9,1.68,34.42
8.6,1.06,113.66,0.27,15259.8,1.76,34.46
8.25,1.06,113.87,0.27,14931.1,1.8,34.64
7.89,1.05,106.65,0.27,15057.9,1.83,34.52
7.72,1.05,105.63,0.27,16119.6,1.81,34.72
