Date,Dollar_Index,World_Gold_Price,Dow_Jones_Avg,Set_Index,Thai_Five_Bond,Thai_Ten_Bond,Oil_Price,Usd_Thb,Con_Index,Interest_Rate,Spx,Xag_Usd,Rhodium,Eur_Usd,Nyse,Bvn,Us_Five_Year,Us_Ten_Year,Copper,Palladium,Sales
มิ.ย.19,96.13,"1,409.10","26,864.27","1,711.97",1.735,1.87,58.58,30.7,"2,980.38",16.26,"3,600",1.1074,"13,066.60",15.24,1.822,2.007,2.7135,"1,523.40",100.28,1.75,"19,908.00"
พ.ค.19,97.75,"1,305.25","26,599.96","1,730.34",1.865,2.15,58.47,30.68,"2,941.76",15.31,"3,290",1.1368,"13,049.70",16.67,1.768,2.007,2.6405,"1,533",100.64,1.75,"19,248.15"
เม.ย.19,97.48,"1,283.35","24,815.04","1,620.22",2.045,2.355,53.5,31.52,"2,752.06",14.57,"2,830",1.1167,"12,264.50",15.17,1.916,2.133,2.904,"1,331.50",100.17,1.75,"19,342.31"
มี.ค.19,97.28,"1,291.90","26,592.91","1,673.52",2.11,2.475,63.91,31.89,"2,945.83",14.94,"2,940",1.1215,"13,060.70",16.21,2.278,2.504,2.9395,"1,379.10",99.73,1.75,"19,476.92"
ก.พ.19,96.16,"1,312.66","25,928.68","1,638.65",2.115,2.49,60.14,31.72,"2,834.40",15.14,"3,240",1.1217,"12,696.90",17.28,2.236,2.407,2.948,"1,332.60",99.32,1.75,"19,479.17"
ม.ค.19,95.58,"1,320.56","25,916.00","1,653.48",2.2,2.49,57.22,31.57,"2,784.49",15.6,"2,750",1.137,"12,644.80",16.64,2.516,2.717,2.789,"1,501.50",99.08,1.75,"19,385.19"
ธ.ค.18,96.17,"1,282.73","24,999.67","1,641.73",2.12,2.42,53.79,31.2,"2,704.10",16.07,"2,490",1.1444,"12,299.00",15.65,2.44,2.633,2.631,"1,289.40",99.1,1.75,"19,294.23"
พ.ย.18,97.27,"1,221.88","23,327.46","1,563.88",2.11,2.45,45.41,32.33,"2,506.85",15.48,"2,450",1.1469,"11,374.40",16.22,2.51,2.686,2.7865,"1,181.80",99.76,1.5,"18,986.54"
ต.ค.18,97.13,"1,214.14","25,538.46","1,641.80",2.21,2.64,50.93,32.96,"2,760.17",14.17,"2,590",1.1315,"12,457.50",14.14,2.823,2.993,2.667,"1,144.60",99.98,1.5,"18,792.59"
ก.ย.18,95.13,"1,191.69","25,115.76","1,669.09",2.37,2.78,65.31,33.11,"2,711.74",14.22,"2,415",1.131,"12,208.10",13.84,2.978,3.149,2.805,"1,062",99.92,1.5,"18,454.00"
ส.ค.18,95.14,"1,200.71","26,458.31","1,756.41",2.28,2.68,73.25,32.32,"2,913.98",14.6,"2,570",1.1608,"13,082.50",13.41,2.955,3.065,2.6645,"1,065.90",99.63,1.5,"18,770.37"
ก.ค.18,94.49,"1,223.41","25,964.82","1,721.58",2.25,2.65,69.8,32.75,"2,901.52",14.5,"2,380",1.1599,"13,016.90",12.59,2.738,2.86,2.8405,969.9,99.37,1.5,"19,459.62"
มิ.ย.18,94.64,"1,252.25","25,415.19","1,701.79",2.145,2.595,68.76,33.19,"2,816.29",15.51,"2,330",1.1691,"12,963.30",13.74,2.848,2.962,2.966,928.6,99.42,1.5,"19,636.54"
พ.ค.18,93.99,"1,297.92","24,271.41","1,595.58",2.085,2.62,74.15,33.02,"2,718.37",16.08,"2,250",1.1683,"12,504.30",13.63,2.74,2.86,3.075,945.6,99.5,1.5,"19,661.11"
เม.ย.18,91.84,"1,314.95","24,415.84","1,726.97",2.1,2.65,67.04,32.05,"2,705.27",16.35,"2,230",1.169,"12,527.10",15.47,2.7,2.86,3.074,981.7,98.95,1.5,"19,708.00"
มี.ค.18,89.97,"1,324.00","24,163.15","1,780.11",1.91,2.47,68.57,31.54,"2,648.05",16.31,"2,050",1.2077,"12,515.40",15.95,2.801,2.955,3.037,955.8,98.51,1.5,"19,570.37"
ก.พ.18,90.61,"1,317.66","24,103.11","1,776.26",1.825,2.44,64.94,31.17,"2,640.87",16.32,"2,030",1.2321,"12,452.10",15.23,2.562,2.741,3.1325,938.65,98.6,1.5,"19,812.50"
ม.ค.18,89.13,"1,344.70","25,029.20","1,830.13",1.865,2.425,61.64,31.48,"2,713.83",16.41,"1,860",1.2193,"12,652.50",15.55,2.645,2.864,3.2065,"1,037.60",98.82,1.5,"20,033.33"
ธ.ค.17,92.12,"1,302.45","26,149.39","1,826.86",1.82,2.37,64.73,31.34,"2,823.81",17.31,"1,790",1.242,"13,368.00",15.43,2.522,2.713,3.3005,"1,018.15",98.75,1.5,"19,536.54"
พ.ย.17,93.05,"1,274.36","24,719.22","1,753.71",1.88,2.355,60.42,32.55,"2,673.61",16.95,"1,705",1.1996,"12,808.80",14.08,2.206,2.405,3.0555,"1,052.05",98.83,1.5,"19,923.08"
ต.ค.17,94.55,"1,271.20","24,272.35","1,697.39",1.84,2.38,57.4,32.64,"2,647.58",16.42,"1,520",1.1902,"12,627.80",13.99,2.142,2.415,3.108,"1,003.55",98.76,1.5,"20,092.31"
ก.ย.17,93.08,"1,279.10","23,377.24","1,721.37",1.86,2.38,54.38,33.22,"2,575.26",16.69,"1,515",1.1644,"12,341.00",13.79,2.015,2.378,2.955,971,98.61,1.5,"20,569.23"
ส.ค.17,92.67,"1,321.60","22,405.09","1,673.16",1.76,2.32,51.67,33.32,"2,519.36",16.61,"1,165",1.1812,"12,209.20",12.79,1.939,2.339,3.094,932.25,98.04,1.5,"20,096.30"
ก.ค.17,92.86,"1,269.05","21,948.10","1,616.16",1.81,2.35,47.23,33.17,"2,471.65",17.57,"1,130",1.1908,"11,875.70",13.43,1.705,2.121,2.9,932.25,97.93,1.5,"19,694.23"
มิ.ย.17,95.63,"1,241.20","21,891.12","1,576.08",1.89,2.49,50.17,33.29,"2,470.30",16.79,980,1.184,"11,967.70",12.24,1.837,2.296,2.711,877.55,98.06,1.5,"20,253.85"
