Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,Copper,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
31450,34829.61,2071.64,45.19,1.0872,79.25,22.4335,83.26,"4,090.00",3.75,"4,344.88",0.2437,7.64,"1,515.10","15,734.40",35.48,2.51
31500,34914.96,2072.09,44.94,1.0876,81.23,22.545,84.45,"4,090.00",3.688,"4,416.32",0.2425,7.83,"1,514.84","15,818.10",35.45,2.54
31700,35160.55,2103.8,44.71,1.0907,82.52,22.5915,84.31,"4,090.00",3.6475,"4,433.79",0.2432,7.74,"1,534.05","15,911.30",35.38,2.43
31800,35111.36,2105.63,44.53,1.0906,82.83,22.7191,84.38,"4,090.00",3.66,"4,478.87",0.2423,7.9,"1,535.47","16,116.00",35.24,2.38
31850,35324.28,2084.88,44.64,1.0981,82.88,22.761,84.28,"4,090.00",3.727,"4,450.69",0.2425,7.9,"1,520.90","16,135.20",35.125,2.34
31750,35345.4,2106,44.54,1.0953,82.53,23.0783,84.59,"4,090.00",3.755,"4,501.57",0.2445,7.92,"1,534.61","16,176.30",35.03,2.25
31800,35194.56,2115.74,43.84,1.1001,79.77,23.725,83.75,"4,090.00",3.7795,"4,498.03",0.2443,7.81,"1,543.78","16,208.20",34.84,2.31
31850,35551.92,2124.76,43.86,1.0938,82.05,24.3471,81.6,"4,090.00",3.842,"4,494.27",0.2405,7.77,"1,550.06","16,174.50",34.49,2.48
31850,35465.97,2125.57,44.03,1.0983,80.65,24.3352,79.98,"4,090.00",3.8445,"4,550.93",0.2402,7.65,"1,548.75","16,356.50",34.35,2.45
31600,35558.79,2090.51,44.26,1.1023,78.9,24.9163,80.43,"4,090.00",3.91,"4,584.82",0.244,7.71,"1,527.12","16,363.30",34.26,2.52
31600,35345.99,2090.63,44.48,1.1081,79.34,24.6499,79.16,"3,990.00",3.93,"4,598.26",0.2441,7.64,"1,527.41","16,418.20",34.195,2.52
31700,35421.49,2092.53,44.32,1.1053,78.85,24.3728,79.67,"3,990.00",3.905,"4,558.96",0.2443,7.59,"1,529.17","16,385.20",34.49,2.52
31900,35230.79,2089.23,44.27,1.1065,77.01,24.62,80.41,"4,040.00",3.9265,"4,555.19",0.244,7.68,"1,529.41","16,369.10",34.53,2.55
31950,35274.32,2080.4,44.02,1.1127,75.7,24.7933,79.68,"4,140.00",3.8485,"4,543.39",0.2429,7.82,"1,524.04","16,289.10",34.43,2.56
31950,35091.98,2096.98,44.05,1.1133,75.35,25.1507,79.51,"4,240.00",3.8185,"4,550.16",0.2446,7.55,"1,536.08","16,263.70",34.2,2.47
31900,34991.21,2100.31,44.45,1.12,75.84,25.063,78.74,"4,340.00",3.828,"4,554.38",0.2437,7.42,"1,537.68","16,230.90",34.04,2.47
31850,34597.08,2082.46,45.26,1.1227,74.18,24.83,78.94,"4,340.00",3.8155,"4,563.87",0.2448,7.3,"1,527.13","16,156.50",34.07,2.47
31750,34499.74,2077.24,45.34,1.1237,75.02,24.9253,78.76,"4,340.00",3.833,"4,521.78",0.2493,7.73,"1,521.39","16,054.20",34.61,2.48
31850,34425.33,2043.15,45.35,1.1235,77.16,24.8471,78.48,"4,340.00",3.843,"4,508.86",0.2497,7.84,"1,497.85","16,040.20",34.65,2.42
31850,34412.31,2032.56,45.03,1.1227,75.85,24.155,78.78,"4,290.00",3.927,"4,514.61",0.2504,7.95,"1,491.05","16,106.80",34.52,2.42
31950,34395.28,2044.24,44.98,1.1131,74.83,23.1925,81.1,"3,990.00",3.953,"4,491.50",0.2505,7.7,"1,500.97","16,011.30",34.67,2.44
32050,34056.94,2046.56,45.14,1.1008,73.19,23.1774,83.57,"3,990.00",3.854,"4,467.69",0.248,8.02,"1,503.06","15,897.30",34.78,2.43
