Y,Copper,Rhodium,SP,US_Five,US_Ten,DJI,Set,GBP_THB,JPY_THB,USD_THB,BVN ,EUR_USD,XAG_USD,THB_Five,THB_Ten,NYSE,SET,Oil
31900,3.72,4090,4434.55,4.42,4.3,34351.18,2135.69,44.51,0.25,35.64,8.37,1.0716,22.917,2.8,2.52,15891.5,1564.9,87.4
32050,3.76,4090,4490.35,4.38,4.29,34611.68,2138.67,44.44,0.25,35.65,8.34,1.0697,22.975,2.65,2.54,15942.5,1569.2,86.78
32050,3.79,4090,4510.06,4.44,4.25,34824.39,2150.77,44.45,0.24,35.54,8.41,1.0726,23.1727,3.05,2.55,16091.8,1575.3,87.54
32250,3.84,4090,4530.6,4.37,4.29,34876.24,2152.02,44.56,0.24,35.47,8.64,1.0729,23.5687,3.05,2.49,16000.4,1574.3,86.72
32500,3.86,4090,4517.01,4.33,4.25,34909.09,2141.02,44.48,0.24,35.25,8.65,1.0797,24.0037,3.03,2.49,16074.2,1566,86.06
32750,3.85,4090,4500.34,4.33,4.21,34847.8,2142.46,44.12,0.24,35.1,8.71,1.0777,24.1875,2.73,2.46,16041.5,1566,85.85
32800,3.85,4090,4432.75,4.26,4.19,34531.12,2127.92,44.37,0.24,35.01,8.4,1.084,24.4023,2.72,2.56,15879.6,1554.74,86.06
32700,3.83,4090,4426.03,4.27,4.19,34441.64,2126.78,44.59,0.24,35.05,8.19,1.0926,24.6284,2.57,2.54,15766.9,1552.97,83.63
32750,3.84,4090,4389.38,4.29,4.11,34244.54,2123.52,44.27,0.24,35.02,8.14,1.0879,24.73,2.5,2.51,15683,1550.2,81.7
32850,3.84,4090,4455.16,4.37,4.11,34439.83,2104.34,44.39,0.24,35.22,8.05,1.0814,24.2207,2.06,2.51,15823.3,1535.54,81.29
32850,3.79,4090,4396.44,4.46,4.14,34338.59,2083.62,44.2,0.24,35.16,8.02,1.0801,24.24,2.06,2.52,15690.3,1522.44,79.98
32850,3.82,4090,4415.33,4.41,4.19,34494.17,2087.2,44.09,0.24,34.99,7.85,1.081,24.1577,2.08,2.49,15746.2,1525.75,80.15
32500,3.79,4090,4380.28,4.37,4.25,34531.28,2071.64,44.52,0.24,34.98,7.67,1.0863,24.3447,2.05,2.48,15750.2,1515.1,78.88
32400,3.83,4090,4344.88,4.48,4.23,34265.23,2072.09,44.59,0.24,35.04,7.64,1.0848,23.4175,2.09,2.46,15734.4,1514.84,78.57
32400,3.78,4090,4416.32,4.48,4.19,34829.61,2103.8,44.94,0.24,35.22,7.83,1.0893,23.3213,2.11,2.47,15818.1,1534.05,79.64
32250,3.76,4090,4433.79,4.39,4.32,34914.96,2105.63,45.06,0.24,35.38,7.74,1.0878,22.725,1.94,2.51,15911.3,1535.47,80.8
32200,3.75,4090,4478.87,4.4,4.35,35160.55,2095.67,45.22,0.24,35.48,7.9,1.0872,22.7125,1.97,2.54,16116,1527.93,81.43
32200,3.69,4090,4458.13,4.4,4.26,35273.89,2084.88,45.19,0.24,35.45,8.02,1.0876,22.4335,2.07,2.43,16143.4,1520.9,80.04
32250,3.65,4090,4450.69,4.37,4.27,35111.36,2106,44.94,0.24,35.38,7.9,1.0907,22.545,2.11,2.38,16135.2,1534.61,79.25
32200,3.66,4090,4487.16,4.37,4.25,35231.54,2100.74,44.71,0.24,35.24,7.92,1.0906,22.5915,2.062,2.34,16135.8,1533.18,81.23
32250,3.73,4090,4501.57,4.32,4.21,35324.28,2096.51,44.51,0.24,35.1,7.81,1.0953,22.6998,2.1,2.25,16176.3,1531.03,82.52
32300,3.72,4090,4498.03,4.24,4.2,35345.4,2115.74,44.53,0.24,35.13,7.77,1.0981,22.7191,2.1,2.31,16208.2,1543.78,83.09
32200,3.76,4090,4491.58,4.14,4.17,35125.6,2124.76,44.58,0.24,35.05,7.81,1.0975,22.6865,2.2,2.48,16071.1,1550.06,82.83
