Y,BVN,EUR_USD,JPY_THB,NYSE,TenBond_THB,USD_THB,Oil_Crud
29750.00,5.66,1.00,0.26,15341.80,1.62,36.10,95.35
29800.00,5.66,1.00,0.26,15588.30,1.64,36.05,93.78
29700.00,5.41,1.00,0.26,15763.90,1.62,36.12,90.55
29600.00,5.38,0.99,0.26,15734.10,1.67,35.74,89.65
29700.00,5.28,1.00,0.26,15846.80,1.65,35.66,90.39
29650.00,5.67,1.01,0.26,15794.30,1.63,35.45,87.39
29700.00,5.62,1.02,0.26,15804.40,1.68,35.42,87.10
29850.00,5.95,1.02,0.26,15602.90,1.70,35.51,87.93
30000.00,5.82,1.02,0.27,15552.70,1.68,35.30,91.94
29850.00,5.82,1.03,0.27,15305.80,1.67,35.19,91.55
29900.00,5.98,1.03,0.26,15273.20,1.68,35.36,90.69
30000.00,5.92,1.03,0.27,15267.20,1.67,35.62,88.46
30200.00,6.01,1.02,0.26,15162.70,1.67,35.74,90.95
30150.00,5.74,1.02,0.26,15286.00,1.71,36.24,93.83
30250.00,5.66,1.02,0.27,14793.50,1.74,36.22,93.75
29800.00,5.71,1.02,0.27,14899.10,1.75,36.15,95.60
29850.00,5.39,1.03,0.27,14790.80,1.77,36.73,96.33
29850.00,6.10,1.01,0.27,14871.10,1.76,36.69,95.10
29800.00,6.03,1.02,0.27,14778.50,1.74,36.68,96.51
29450.00,6.14,1.02,0.27,14766.60,1.72,36.78,99.91
29600.00,6.15,1.02,0.27,14403.20,1.74,36.69,103.60
29650.00,5.97,1.02,0.27,14449.70,1.75,36.61,102.00
29600.00,6.09,1.02,0.26,14171.20,1.76,36.65,97.27
29650.00,6.06,1.01,0.27,14340.30,1.74,36.65,96.39
29650.00,6.08,1.01,0.26,14502.40,1.69,36.58,96.57
29750.00,5.94,1.00,0.26,14642.30,1.67,36.21,103.46
29700.00,5.88,1.01,0.26,14465.30,1.67,36.25,104.79
29850.00,6.03,1.00,0.26,14499.50,1.70,35.86,98.22
30150.00,6.08,1.02,0.26,14487.60,1.69,36.21,100.36
30200.00,6.18,1.02,0.27,14599.60,1.70,35.94,106.01
30300.00,6.42,1.03,0.27,14667.30,1.69,35.59,109.70
30150.00,6.51,1.04,0.26,14835.30,1.68,35.31,111.86
30400.00,6.47,1.05,0.26,14811.50,1.65,35.20,110.18
30650.00,6.76,1.04,0.26,14402.10,1.65,35.18,107.22
30650.00,7.03,1.05,0.26,14352.80,1.70,35.37,103.99
30650.00,7.13,1.06,0.26,14414.30,1.71,35.50,104.42
30600.00,7.14,1.06,0.26,14097.00,1.72,35.50,109.54
30700.00,6.80,1.05,0.26,14142.20,1.66,35.39,110.58
30600.00,7.32,1.06,0.26,14595.20,1.68,35.33,117.08
30200.00,7.45,1.05,0.26,14444.60,1.73,35.34,115.98
30100.00,7.31,1.05,0.26,14527.90,1.72,35.03,119.07
30150.00,7.52,1.05,0.26,15096.70,1.74,34.81,121.09
30550.00,7.51,1.04,0.26,15472.50,1.73,35.02,120.19
30150.00,7.65,1.04,0.26,15843.80,1.74,34.90,121.46
30150.00,7.49,1.04,0.26,15848.50,1.72,34.75,122.43
29950.00,7.84,1.05,0.26,15797.20,1.76,34.56,119.10
30100.00,7.73,1.06,0.26,15827.00,1.71,34.52,120.82
29800.00,8.13,1.07,0.26,15942.60,1.76,34.38,115.40
29850.00,8.34,1.07,0.26,15664.00,1.76,34.34,114.96
29850.00,8.72,1.07,0.26,15412.20,1.79,34.33,114.20
29950.00,8.57,1.07,0.27,15290.40,1.78,34.08,110.69
30050.00,9.08,1.08,0.27,15343.00,1.75,34.24,110.39
29900.00,8.90,1.07,0.27,15081.00,1.75,34.28,110.41
30000.00,8.47,1.07,0.27,15035.90,1.72,34.10,110.56
29900.00,8.47,1.07,0.27,15044.50,1.72,34.15,111.45
29650.00,8.45,1.07,0.27,15541.90,1.68,34.42,109.09
29600.00,8.60,1.06,0.27,15259.80,1.76,34.46,113.66
