Y_Date,Y
2017-02-07,20350
2017-02-08,20400
2017-02-09,20450
2017-02-10,20250
2017-02-14,20300
2017-02-15,20300
2017-02-16,20350
2017-02-17,20400
2017-02-20,20400
2017-02-22,20400
2017-02-23,20400
2017-02-24,20550
2017-02-27,20650
2017-02-28,20600
2017-03-01,20700
2017-03-02,20650
2017-03-03,20500
2017-03-06,20500
2017-03-07,20400
2017-03-08,20300
2017-03-09,20250
2017-03-10,20100
2017-03-13,20150
2017-03-14,20150
2017-03-15,20100
2017-03-16,20350
2017-03-17,20350
2017-03-20,20300
2017-03-21,20250
2017-03-22,20500
2017-03-23,20450
2017-03-24,20450
2017-03-27,20500
2017-03-28,20450
2017-03-29,20450
2017-03-30,20450
2017-03-31,20300
2017-04-03,20300
2017-04-04,20450
2017-04-05,20500
2017-04-07,20800
2017-04-10,20600
2017-04-11,20600
2017-04-12,20850
2017-04-17,20950
2017-04-18,20900
2017-04-19,20900
2017-04-20,20850
2017-04-24,20800
2017-04-25,20750
2017-04-26,20650
2017-04-27,20700
2017-05-02,20600
2017-05-03,20550
2017-05-04,20400
2017-05-08,20250
2017-05-09,20200
2017-05-11,20150
2017-05-15,20200
2017-05-16,20200
2017-05-17,20300
2017-05-18,20550
2017-05-22,20400
2017-05-23,20550
2017-05-24,20450
2017-05-25,20450
2017-05-30,20500
2017-05-31,20400
2017-06-01,20500
2017-06-05,20600
2017-06-06,20650
2017-06-07,20800
2017-06-08,20750
2017-06-12,20500
2017-06-13,20450
2017-06-14,20400
2017-06-15,20100
2017-06-19,20150
2017-06-20,20100
2017-06-21,20100
2017-06-22,20200
2017-06-26,20200
2017-06-27,20050
2017-06-28,20150
2017-06-29,20150
2017-07-03,20000
2017-07-05,19800
2017-07-06,19800
2017-07-11,19650
2017-07-12,19650
2017-07-13,19700
2017-07-17,19700
2017-07-18,19700
2017-07-19,19800
2017-07-20,19750
2017-07-24,19850
2017-07-25,19850
2017-07-26,19850
2017-07-27,19900
2017-07-31,20000
2017-08-01,20050
2017-08-02,20000
2017-08-03,19950
2017-08-07,19900
2017-08-08,19900
2017-08-09,19950
2017-08-10,20050
2017-08-15,20100
2017-08-16,20100
2017-08-17,20250
2017-08-21,20250
2017-08-22,20300
2017-08-23,20250
2017-08-24,20350
2017-08-28,20350
2017-08-29,20700
2017-08-30,20650
2017-08-31,20500
2017-09-05,20950
2017-09-06,21000
2017-09-07,20950
2017-09-11,21000
2017-09-12,20850
2017-09-13,20850
2017-09-14,20750
2017-09-18,20700
2017-09-19,20500
2017-09-20,20550
2017-09-21,20450
2017-09-25,20300
2017-09-26,20550
2017-09-27,20450
2017-09-28,20300
2017-10-02,20200
2017-10-03,20200
2017-10-04,20150
2017-10-05,20150
2017-10-09,20250
2017-10-10,20350
2017-10-11,20300
2017-10-12,20300
2017-10-16,20400
2017-10-17,20300
