Y,BVN,JPY_THB,NYSE,Oil,Thai_Ten,USD_THB
29650.00,5.41,0.26,15341.80,85.61,3.42,36.34
29650.00,5.38,0.26,15588.30,85.21,3.35,36.49
29650.00,5.28,0.26,15763.90,85.16,3.32,36.42
29800.00,5.67,0.26,15734.10,88.91,3.32,36.67
29700.00,5.62,0.26,15846.80,87.94,3.27,36.58
29750.00,5.95,0.26,15794.30,88.09,3.34,36.64
29700.00,5.82,0.26,15804.40,86.25,3.22,36.73
29700.00,5.82,0.26,15602.90,82.80,3.23,36.58
29850.00,5.98,0.26,15552.70,81.91,3.27,36.47
29900.00,5.92,0.26,15264.80,86.93,3.20,36.32
29850.00,5.97,0.26,15305.80,86.84,3.11,36.19
29850.00,6.01,0.26,15273.20,88.27,3.10,35.86
29850.00,5.74,0.26,15224.20,86.91,3.07,36.10
29950.00,5.53,0.25,15267.20,86.56,3.04,36.05
29800.00,5.66,0.26,15162.70,88.83,3.11,36.12
29700.00,5.71,0.26,15286.00,92.31,3.06,35.74
29700.00,5.39,0.26,15327.70,96.90,3.03,35.66
29500.00,5.45,0.25,15198.80,92.96,2.99,35.45
29500.00,5.58,0.25,15031.00,93.06,2.88,35.42
29550.00,6.01,0.25,14793.50,95.35,2.90,35.51
29250.00,6.10,0.25,14899.10,93.78,2.82,35.30
29300.00,6.03,0.25,14790.80,90.55,2.78,35.19
29350.00,6.14,0.26,14871.10,89.65,2.84,35.36
29450.00,6.15,0.26,14778.50,90.39,2.89,35.41
29500.00,5.97,0.26,14766.60,87.39,2.79,35.62
29550.00,6.09,0.26,14403.20,87.10,2.79,35.74
29650.00,6.06,0.26,14449.70,87.93,2.75,35.90
29700.00,6.08,0.26,14171.20,91.94,2.83,36.24
29700.00,5.94,0.26,14340.30,94.09,2.68,36.22
29700.00,5.88,0.26,14395.00,91.55,2.72,36.15
29700.00,6.03,0.26,14502.40,90.51,2.75,36.28
29700.00,6.08,0.26,14642.30,90.69,2.57,36.46
29500.00,6.18,0.26,14676.50,88.46,2.67,36.71
29550.00,6.55,0.26,14465.30,88.06,2.68,36.73
29700.00,6.42,0.25,14499.50,90.95,2.76,36.69
29750.00,6.51,0.26,14636.80,93.83,2.80,36.68
29750.00,6.62,0.26,14487.60,93.75,2.80,36.78
29800.00,6.47,0.26,14599.60,98.46,2.78,36.69
29950.00,6.76,0.26,14667.30,97.30,2.88,36.61
29950.00,7.03,0.26,14835.30,98.17,3.02,36.65
30000.00,7.13,0.26,14811.50,95.60,3.03,36.65
29950.00,7.14,0.26,14402.10,96.33,2.99,36.58
30100.00,6.80,0.26,14352.80,95.10,2.92,36.21
30100.00,7.32,0.26,14414.30,96.51,2.96,36.20
30200.00,7.45,0.26,14097.00,99.91,2.94,36.25
30300.00,7.31,0.26,14142.20,103.60,2.97,35.86
30350.00,7.52,0.26,14595.20,102.00,2.99,36.05
30250.00,7.51,0.26,14444.60,97.27,3.10,36.21
