Y,BOND10THB,OIL,SET,USD_THB,XAU_USD
28050,1.9,75.63,1611.69,33.62,1762.15
28000,1.89,74.74,1600.59,33.68,1756.91
27850,1.88,74.47,1616.99,33.95,1726.4
27900,1.83,73.95,1605.19,33.845,1733.97
27900,1.855,75.05,1623.88,33.6,1750.45
27800,1.83,73.83,1637.3,33.43,1751.24
28050,1.8,71.6,1632.92,33.47,1768.4
28150,1.81,70.48,1614.74,33.38,1774.51
27900,1.79,70.43,1604.64,33.37,1764.19
27650,1.83,71.81,1617.44,33.32,1754.3
27650,1.84,72.33,1632.18,33.14,1753.67
28000,1.66,72.42,1633.28,32.89,1794.34
28150,1.66,70.47,1624.17,32.945,1804.53
27900,1.695,70.38,1639.9,32.87,1793.77
27750,1.695,69.35,1634.43,32.69,1788.55
27850,1.68,67.73,1633.1,32.72,1794.61
27750,1.705,69.11,1637.65,32.77,1789.19
27950,1.73,68.13,1632.18,32.66,1794.41
28100,1.69,68.9,1653.67,32.44,1823.27
28100,1.65,68.75,1652.33,32.49,1828.66
27900,1.65,69.51,1654,32.46,1809.98
27800,1.61,68.31,1643.01,32.24,1813.57
27850,1.58,68.89,1632.65,32.48,1810.26
28000,1.595,68.94,1621.68,32.55,1817.55
27850,1.62,67.47,1602.16,32.76,1792.6
27800,1.635,67.78,1601.99,32.805,1791.09
28050,1.61,67.33,1591.29,32.875,1802.86
28300,1.585,65.24,1590.12,33.255,1805.61
28150,1.56,61.75,1566.1,33.36,1780.55
28150,1.54,63.65,1549.92,33.35,1780.44
28150,1.55,64.45,1546.7,33.295,1788.05
28100,1.55,66.34,1546.71,33.36,1786.21
28250,1.56,67.17,1536.94,33.41,1787.51
28050,1.56,67.63,1527.08,33.34,1778.44
27550,1.56,68.75,1530.68,33.05,1752.72
27400,1.565,68.28,1549.41,33.46,1729.01
27550,1.565,66.62,1544.31,33.47,1729.74
27550,1.58,67.62,1528.16,33.44,1763.34
28450,1.51,68.77,1530.43,33.27,1804.28
28350,1.5,67.64,1544.83,33.12,1811.69
28350,1.56,69.88,1542.11,33.025,1810.6
28250,1.575,70.86,1525.24,32.95,1813.64
28300,1.59,73.11,1523.42,32.89,1814.34
28400,1.585,72.75,1536.91,32.855,1828.21
28250,1.605,71.8,1541.8,32.87,1807.15
28000,1.61,71.61,1547.4,32.91,1797.53
28100,1.63,70.97,1550.86,32.895,1806.95
28000,1.63,69.5,1549.85,32.825,1803.58
28100,1.61,65.86,1543.17,32.84,1810.32
28200,1.69,66.61,1551.26,32.86,1812.61
28200,1.69,71.09,1557.81,32.79,1811.65
28300,1.66,71.21,1569.23,32.69,1829.45
28200,1.67,72.43,1575.05,32.61,1827.35
27950,1.475,74.58,1570.12,32.64,1807.72
27950,1.62,73.51,1557.26,32.685,1806.17
27900,1.62,73.92,1558.63,32.52,1807.94
27900,1.62,72.51,1537.97,32.54,1802.89
27600,1.62,71.55,1563.96,32.33,1803.67
27550,1.62,73,1585.04,32.26,1796.96
27350,1.62,74.43,1585.96,32.11,1791.88
27150,1.62,75.15,1580.69,32.16,1787.69
27050,1.62,74.07,1591.37,32.06,1776.83
26850,1.62,72.78,1591.04,32.03,1770.06
26800,1.62,72.77,1597.26,32.11,1761.35
26950,1.62,72.04,1580.89,31.92,1778.44
26850,1.62,73.27,1572.18,31.8,1781.24
26800,1.635,72.65,1592.02,31.9,1775.46
26850,1.62,72.56,1587.73,31.83,1779.01
26800,1.665,72.1,1605.31,31.72,1778.8
26750,1.65,73.04,1610.85,31.61,1783.23
26500,1.63,71.15,1596.96,31.47,1764.44
26550,1.68,70.8,1619.88,31.41,1772.73
27100,1.7,71.48,1621.38,31.28,1812.18
27400,1.68,72.13,1622.78,31.15,1858.96
27450,1.665,70.91,1634.45,31.12,1866.26
27550,1.68,70.36,1641.68,31.07,1874.59
27950,1.67,69.91,1632.04,31.16,1898.42
27800,1.67,69.61,1631.92,31.16,1888.57
27900,1.71,69.81,1618.06,31.21,1893.49
28000,1.74,69.08,1614.85,31.18,1898.99
27850,1.75,69.25,1618.74,31.14,1888.49
27600,1.78,68.71,1613.72,31.21,1871.32
28000,1.77,67.8,1624.83,31.16,1900.05
28200,1.77,66.45,1602.65,31.2,1907.53
28200,1.76,66.58,1582.56,31.26,1903.69
