Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
31950.00,34395.28,2044.24,44.98,1.11,74.83,23.19,81.10,3990.00,4491.50,0.25,7.70,1500.97,16011.30,34.67,2.44
32050.00,34056.94,2046.56,45.14,1.10,73.19,23.18,83.57,3990.00,4467.69,0.25,8.02,1503.06,15897.30,34.78,2.43
31950.00,33837.07,2012.25,44.82,1.10,71.89,22.73,83.17,3990.00,4415.55,0.25,7.92,1481.91,15748.90,35.11,2.47
31800.00,34171.39,2042.56,44.46,1.09,71.80,23.16,84.10,3990.00,4404.54,0.24,7.70,1503.38,15641.70,35.19,2.54
31850.00,34369.78,2046.50,44.76,1.09,70.45,22.78,82.88,3990.00,4422.62,0.24,7.65,1512.93,15835.50,34.99,2.52
31800.00,34269.92,2019.01,44.97,1.09,69.82,22.57,84.29,4490.00,4450.48,0.24,7.32,1507.65,15875.90,35.31,2.56
31750.00,33854.57,1990.16,44.97,1.09,69.25,22.72,84.51,4890.00,4422.44,0.25,7.35,1488.86,15737.40,35.64,2.50
31850.00,33881.38,2011.13,44.94,1.09,68.01,22.85,84.00,4990.00,4374.94,0.25,7.39,1468.00,15617.40,35.57,2.52
32050.00,33739.03,2018.71,44.74,1.10,69.49,22.77,83.77,5190.00,4367.48,0.25,7.15,1483.32,15646.70,35.24,2.50
32050.00,33730.79,2036.12,44.78,1.09,69.84,22.45,84.44,5440.00,4337.36,0.25,7.13,1488.17,15518.70,35.19,2.52
32000.00,33835.66,2034.14,44.75,1.09,69.53,22.24,85.45,5490.00,4344.84,0.25,7.14,1504.27,15469.30,35.24,2.46
32050.00,33900.47,2062.04,44.42,1.10,72.43,22.62,86.11,5590.00,4354.17,0.25,7.52,1504.50,15600.70,35.13,2.39
32000.00,33990.56,2073.05,44.48,1.10,70.90,23.21,85.15,5940.00,4355.40,0.25,7.52,1524.35,15657.00,34.81,2.37
31800.00,34206.66,2089.20,44.45,1.09,71.45,23.94,83.63,6090.00,4380.01,0.25,7.56,1533.87,15648.90,34.84,2.47
31800.00,34464.02,2113.98,44.22,1.09,70.55,23.87,81.34,6090.00,4396.11,0.25,7.35,1545.43,15795.10,34.76,2.47
31900.00,33945.98,2106.53,43.95,1.09,68.70,23.94,82.02,6090.00,4440.95,0.25,7.50,1562.67,15826.30,34.61,2.52
32000.00,34044.70,2115.54,43.74,1.08,69.35,23.63,81.32,6090.00,4365.33,0.25,7.44,1561.47,15642.70,34.69,2.62
32000.00,34111.08,2094.39,43.33,1.08,67.31,24.06,82.10,6090.00,4366.29,0.25,7.40,1566.54,15667.80,34.64,2.55
31850.00,33906.80,2090.00,43.49,1.08,70.27,24.27,81.37,6190.00,4352.61,0.25,7.28,1553.11,15548.50,34.64,2.64
31850.00,33852.44,2102.36,43.49,1.08,70.94,24.29,80.82,6190.00,4308.32,0.25,7.28,1551.12,15499.90,34.60,2.74
32000.00,33562.47,2058.93,43.21,1.08,71.56,23.62,80.97,6290.00,4304.88,0.25,7.13,1558.94,15502.60,34.63,2.69
32050.00,33547.67,2069.61,43.25,1.07,71.99,23.56,83.18,6390.00,4285.47,0.25,7.00,1531.30,15391.80,34.79,2.93
32100.00,33187.58,2052.36,43.33,1.07,70.21,23.88,83.25,6390.00,4271.34,0.25,7.55,1537.62,15275.20,34.80,3.05
32200.00,32929.85,2061.31,43.14,1.08,67.60,23.55,82.80,6590.00,4241.01,0.25,6.96,1526.87,15031.10,34.58,3.22
32150.00,32948.71,2048.29,43.10,1.07,69.62,23.21,83.47,6890.00,4183.03,0.25,6.87,1534.16,14887.10,34.72,3.16
32250.00,33103.65,2077.17,42.89,1.07,73.23,23.17,84.45,6890.00,4190.74,0.25,7.04,1525.58,14994.60,34.71,2.97
32150.00,32795.50,2062.85,42.76,1.07,71.89,22.74,83.90,6890.00,4226.71,0.25,6.88,1543.30,15078.70,34.72,3.11
32050.00,32854.26,2069.57,42.84,1.07,74.21,23.08,85.40,6890.00,4156.16,0.25,6.59,1533.18,14976.00,34.71,3.11
31850.00,33021.76,2061.94,42.96,1.08,73.77,23.45,84.92,6890.00,4155.71,0.25,6.61,1537.55,15022.90,34.65,3.12
31900.00,33190.60,2060.24,42.87,1.08,72.10,23.67,84.15,6990.00,4132.96,0.25,6.72,1530.61,15172.30,34.61,2.83
32100.00,33408.54,2028.44,42.70,1.08,71.70,23.86,83.46,6990.00,4176.80,0.25,6.93,1526.15,15318.80,34.47,2.83
32200.00,33582.95,2062.46,42.72,1.08,71.94,23.47,82.90,6990.00,4190.78,0.25,7.15,1505.21,15324.30,34.37,2.70
32050.00,33374.56,2063.87,42.77,1.08,72.75,23.69,83.30,6890.00,4204.15,0.25,7.05,1529.15,15345.40,34.42,2.59
32100.00,33092.48,2080.24,42.60,1.08,70.60,23.74,83.46,6890.00,4157.68,0.25,7.01,1531.15,15313.90,34.27,2.45
31900.00,33275.37,2080.94,42.33,1.09,71.32,24.14,83.75,6990.00,4122.85,0.25,6.99,1541.29,15129.30,34.06,2.45
32050.00,33321.21,2122.80,42.27,1.09,70.04,23.92,83.65,7290.00,4127.95,0.25,7.00,1541.11,15322.60,33.79,2.47
32150.00,33370.58,2111.34,42.34,1.09,71.42,24.15,83.74,7490.00,4126.65,0.25,7.01,1570.62,15246.40,33.93,2.45
32250.00,33707.20,2112.03,42.56,1.10,73.58,25.60,79.41,7590.00,4143.74,0.25,7.00,1562.66,15352.80,33.72,2.51
32200.00,33589.85,2113.93,42.76,1.10,72.84,25.52,79.09,7840.00,4124.25,0.25,7.08,1561.76,15391.30,33.87,2.57
32250.00,33797.43,2071.26,42.64,1.11,74.91,24.87,79.94,7940.00,4082.55,0.25,7.19,1531.92,15233.80,33.93,2.35
32300.00,33381.66,2077.18,42.57,1.10,74.38,24.88,79.53,8840.00,4166.79,0.25,7.10,1536.28,15545.90,34.13,2.38
32250.00,33596.34,2084.78,42.70,1.10,77.08,24.96,79.79,8840.00,4129.63,0.26,7.28,1539.28,15431.60,34.15,2.46
32050.00,33828.34,2100.40,42.88,1.10,78.74,25.12,79.92,8640.00,4075.29,0.26,7.21,1543.29,15228.60,34.15,2.49
32150.00,33805.04,2096.01,42.75,1.10,77.97,25.07,79.72,8390.00,4087.78,0.26,7.29,1557.80,15363.50,34.40,2.44
32350.00,33793.60,2109.74,42.70,1.10,77.13,25.24,79.19,7990.00,4126.43,0.26,7.34,1555.76,15606.70,34.36,2.44
32350.00,33740.60,2133.12,42.87,1.10,78.87,25.24,79.00,7890.00,4132.07,0.26,7.56,1563.91,15578.90,34.39,2.55
32300.00,33889.83,2143.89,42.62,1.10,80.92,25.21,79.41,7890.00,4132.14,0.26,7.51,1579.98,15582.90,34.33,2.55
32450.00,33965.16,2162.93,42.69,1.10,81.00,25.07,78.96,7890.00,4130.48,0.26,7.51,1588.90,15653.60,34.44,2.53
32350.00,33930.46,2152.44,42.51,1.10,82.48,25.31,79.54,7890.00,4139.33,0.26,7.77,1600.16,15685.00,34.28,2.53
32500.00,33764.21,2161.75,42.59,1.09,81.44,25.12,79.72,7890.00,4164.26,0.26,7.87,1593.09,15668.30,34.50,2.77
32500.00,33425.25,2129.02,42.44,1.10,80.50,24.90,79.09,7490.00,4137.17,0.26,7.75,1597.59,15601.80,34.29,2.77
32500.00,33394.60,2152.02,42.57,1.09,81.01,24.99,80.00,7790.00,4121.72,0.26,7.93,1577.39,15520.90,34.28,2.70
32500.00,33594.79,2163.55,42.47,1.09,80.44,23.99,80.41,7290.00,4085.20,0.26,8.24,1601.89,15379.10,34.16,2.88
32300.00,32901.96,2171.44,42.28,1.09,74.37,23.82,82.85,7890.00,4128.03,0.26,8.37,1607.00,15487.80,34.22,2.86
32350.00,32807.43,2175.98,42.11,1.09,72.98,23.30,82.84,8190.00,4056.18,0.26,8.08,1611.64,15200.60,34.13,2.88
32000.00,32566.54,2175.14,42.29,1.08,73.61,23.29,84.20,8340.00,4046.74,0.26,8.29,1611.75,15124.00,34.18,2.90
31850.00,32434.85,2161.11,42.29,1.08,72.86,23.09,84.47,8340.00,3999.53,0.26,8.14,1600.82,14949.30,34.26,2.97
31700.00,32276.72,2154.15,41.79,1.08,69.42,23.28,84.69,8340.00,3974.13,0.26,8.20,1595.12,14894.80,34.43,3.05
31800.00,32038.22,2157.33,41.82,1.08,69.51,23.12,85.13,8290.00,3982.93,0.26,8.20,1596.94,14758.60,34.22,3.05
31800.00,32101.49,2135.42,42.03,1.08,69.95,22.98,86.40,8290.00,3939.21,0.26,8.17,1582.26,14693.00,33.99,3.20
31950.00,32570.19,2137.77,42.10,1.09,69.48,22.38,85.73,8290.00,3959.21,0.26,8.04,1584.84,14741.10,34.28,3.04
32000.00,32420.71,2106.02,41.84,1.08,67.62,22.51,86.60,8690.00,4002.04,0.26,8.15,1564.32,14986.00,34.43,2.87
31750.00,31872.33,2101.44,41.65,1.07,66.62,22.59,87.78,8990.00,3975.89,0.26,8.27,1560.23,14777.70,34.08,2.87
31650.00,32217.32,2107.81,41.72,1.07,68.26,21.72,88.30,8990.00,3917.47,0.26,8.11,1564.58,14599.00,34.09,2.90
31800.00,31827.65,2083.16,41.80,1.06,68.22,21.79,88.35,9290.00,3958.69,0.26,8.30,1549.76,14831.00,34.45,2.99
31600.00,31759.87,2075.73,42.05,1.06,71.56,21.69,88.12,9290.00,3878.93,0.26,8.41,1544.19,14662.50,34.64,3.10
31150.00,32055.29,2100.21,42.05,1.07,74.70,21.80,87.77,9290.00,3876.74,0.26,8.13,1564.96,14944.70,34.58,3.39
31100.00,31819.93,2139.76,41.92,1.07,76.60,20.70,87.77,9290.00,3894.01,0.26,8.16,1592.82,14764.40,34.52,3.33
31000.00,32185.14,2152.00,41.77,1.06,75.65,20.07,90.87,9690.00,3835.12,0.26,8.37,1605.62,14894.20,34.76,3.36
